	logFC	AveExpr	t	P.Value	adj.P.Val	B	change
PTPN6	-0.327938510638298	0.345986914893617	-14.0792313771944	7.90426089592174e-25	6.0704723680679e-22	46.0042366284803	down
CASP8	-0.202216808510638	0.467565212765957	-11.9262431516117	1.77287034696954e-20	6.80782213236302e-18	36.1093575871906	down
HOXA9	0.456259574468085	0.404552765957447	11.5825469572157	9.15398096108582e-20	2.34341912603797e-17	34.4866456206033	up
MOS	0.363533404255319	0.434505425531915	9.44699860766685	2.89431727189068e-15	4.44567132962408e-13	24.2444080669472	up
IRF5	0.181155319148936	0.234951063829787	9.30565678348198	5.77262514430432e-15	7.38896018470953e-13	23.5623743543892	up
HS3ST2	0.28502	0.332581063829787	8.55429056925244	2.25027428326025e-13	2.46887235649124e-11	19.9456035681062	up
HTR1B	0.251984255319149	0.340143191489362	8.50139015109389	2.90986560596526e-13	2.79347098172665e-11	19.6919605457147	up
IFNG	-0.208542978723404	0.598545744680851	-8.33051208199624	6.66766192542588e-13	5.68973817636341e-11	18.8739794375457	down
COMT	-0.102457446808511	0.239788085106383	-8.28480620303886	8.32044717314191e-13	6.39010342897298e-11	18.6555669875815	down
CPA4	-0.200431276595745	0.456475212765957	-8.21903137594944	1.14400993094388e-12	7.98726933604457e-11	18.3415587737515	down
SOX17	0.235296170212766	0.539543829787234	7.76866431420588	1.00183313462271e-11	6.41173206158536e-10	16.2029901037969	up
PTPRH	-0.189541489361702	0.588789468085106	-7.72326470432592	1.24533485746649e-11	7.35705515795586e-10	15.9886978785526	down
SOX1	0.238987659574468	0.179377021276596	7.56692934120867	2.62928986872607e-11	1.44235329941545e-09	15.2528791009774	up
MYOD1	0.232151914893617	0.203395106382979	7.50650502407666	3.50681793926942e-11	1.79549078490594e-09	14.9694084197439	up
DLK1	0.264169361702128	0.279172765957447	7.46035022252558	4.3682271185048e-11	2.0967490168823e-09	14.7532488974153	up
MUC1	-0.178701063829787	0.534496276595745	-7.14980465651685	1.89912016794726e-10	8.57955464107939e-09	13.3078835093804	down
DCC	0.197423617021277	0.472150319148936	7.07884961453923	2.65111778883753e-10	1.13114358990401e-08	12.9800371853004	up
HDAC1	-0.16114170212766	0.361640425531915	-7.04791381620968	3.06530725426847e-10	1.23902945856747e-08	12.8374002439536	down
NID1	-0.189802765957447	0.814449468085106	-7.02925225007167	3.34556107235473e-10	1.28469545178422e-08	12.751447007167	down
NOS3	-0.199204893617021	0.724915425531915	-7.00832436002352	3.69016251866041e-10	1.34954514968152e-08	12.6551372646905	down
STAT5A	0.224927234042553	0.36663829787234	6.93170257793383	5.27991703831807e-10	1.76303316757751e-08	12.3032798963773	up
IL16	-0.162158510638298	0.635914361702128	-6.82878276140574	8.52779630138665e-10	2.72889481644373e-08	11.8325899900579	down
CCR5	-0.109240212765957	0.578934361702128	-6.81808352810129	8.96250267229491e-10	2.753280820929e-08	11.7837897257447	down
HOXA11	0.207618510638298	0.271724787234043	6.60823444149995	2.36497842829339e-09	6.98578243434356e-08	10.831919112813	up
FGF2	0.216385106382979	0.309562340425532	6.47782558711842	4.30094444936372e-09	1.22337975448568e-07	10.245735046847	up
CLDN4	-0.14426914893617	0.706973085106383	-6.35770050925281	7.43465286668654e-09	2.03921907200545e-07	9.70966994501312	down
FRZB	0.254963617021277	0.299927978723404	6.33903635761005	8.09194058540049e-09	2.14296909296123e-07	9.6267289622566	up
AOC3	-0.138664680851064	0.474245957446809	-6.23445924813181	1.29861963902717e-08	3.21722542829956e-07	9.16380095873063	down
CALCA	0.21587170212766	0.421138829787234	6.15672328072524	1.8423411378336e-08	4.42161873080065e-07	8.82172545296825	up
PITX2	0.189479361702128	0.410308404255319	5.979538663221	4.06291943363813e-08	9.45552159101238e-07	8.0488516215297	up
TMPRSS4	-0.143027872340425	0.84199329787234	-5.94163225438026	4.80624058699849e-08	1.0856449325926e-06	7.88478688627616	down
GSTM1	0.20103170212766	0.489872659574468	5.92460403217087	5.18230463495238e-08	1.13714570275527e-06	7.81123782302292	up
CXCL9	-0.106798510638298	0.783797127659574	-5.77461161590236	1.00240137797676e-07	2.13845627301708e-06	7.16755700339377	down
CDH13	0.20902	0.20562085106383	5.74204863120499	1.15567890227107e-07	2.27579845370303e-06	7.02883158825451	up
WT1	0.17853	0.150436914893617	5.61539356842063	2.00335463835785e-07	3.78074383129242e-06	6.49283790502489	up
CCL3	-0.11610829787234	0.726776063829787	-5.61366637564976	2.01836584743476e-07	3.78074383129242e-06	6.48556877991165	down
PECAM1	0.116377659574468	0.728457978723404	5.55855946253523	2.55980298366695e-07	4.42102943225062e-06	6.25422472998749	up
HOXB2	0.106461914893617	0.803285	5.5255382894222	2.95006484077966e-07	4.92532564721474e-06	6.11614435590421	up
E2F5	-0.131516170212766	0.549947872340426	-5.51444112094591	3.09388527370162e-07	5.05554019192095e-06	6.06983366171613	down
GALR1	0.141470425531915	0.185702446808511	5.47641790523801	3.64077154861403e-07	5.81411924648944e-06	5.91151311857549	up
BAX	-0.102984255319149	0.697635531914894	-5.46731006331159	3.78523388443323e-07	5.81411924648944e-06	5.87367284279278	down
ASCL2	0.189136170212766	0.261650425531915	5.41396489585924	4.75129978590605e-07	7.01730429918432e-06	5.65269066995538	up
HBII-52	-0.148514468085106	0.485986170212766	-5.38779084157866	5.30988765686637e-07	7.69432777447806e-06	5.54467541724326	down
BRCA1	-0.147962978723404	0.674610638297872	-5.30853514736947	7.42308989745996e-07	1.03653328022714e-05	5.2192820072559	down
PTK6	-0.116507872340426	0.332097978723404	-5.27357822126312	8.59870572214309e-07	1.17925107046534e-05	5.07657785080455	down
TRIM29	-0.110206170212766	0.808773085106383	-5.25458104116445	9.31206799858513e-07	1.25467863559884e-05	4.9992385034669	down
EMR3	-0.142833191489362	0.544156382978723	-5.2311545606507	1.02717925924485e-06	1.35069009576059e-05	4.90407496746146	down
SLC5A5	0.105610638297872	0.738975744680851	5.22873188739418	1.03763952669108e-06	1.35069009576059e-05	4.89424670153455	up
RARB	0.120109787234043	0.114930638297872	5.22102967535594	1.07159168749436e-06	1.37163735999278e-05	4.86301693801879	up
ABCB1	0.216529361702128	0.16434829787234	5.10086185846541	1.76550763818174e-06	2.02374606884116e-05	4.37906924021241	up
LEFTY2	0.10096170212766	0.526044042553191	4.98758563603079	2.81157282393125e-06	2.99901101219334e-05	3.92869088298907	up
GFI1	0.183050212765957	0.283262765957447	4.9160743134825	3.76116590108611e-06	3.75139663900537e-05	3.64736967716355	up
TEK	0.109548510638298	0.648054255319149	4.90333795427597	3.96032151882694e-06	3.85003408412543e-05	3.59751457770399	up
IL1RN	-0.107722978723404	0.803549787234043	-4.84000021468463	5.11342113852716e-06	4.78915540779129e-05	3.35072116635258	down
FLT3	0.168969574468085	0.171938617021277	4.81043678074204	5.75773634121914e-06	5.21436923901704e-05	3.23618245154601	up
