	logFC	AveExpr	t	P.Value	adj.P.Val	B
PTPN6	-0.327938510638298	0.345986914893617	-14.0792313771944	7.90426089592174e-25	6.0704723680679e-22	46.0042366284803
CASP8	-0.202216808510638	0.467565212765957	-11.9262431516117	1.77287034696954e-20	6.80782213236302e-18	36.1093575871906
HOXA9	0.456259574468085	0.404552765957447	11.5825469572157	9.15398096108582e-20	2.34341912603797e-17	34.4866456206033
ERBB2	0.0357240425531915	0.0394460638297872	9.75118680047378	6.55120145943198e-16	1.25783068021094e-13	25.7124410132574
MOS	0.363533404255319	0.434505425531915	9.44699860766685	2.89431727189068e-15	4.44567132962408e-13	24.2444080669472
IRF5	0.181155319148936	0.234951063829787	9.30565678348198	5.77262514430432e-15	7.38896018470953e-13	23.5623743543892
HS3ST2	0.28502	0.332581063829787	8.55429056925244	2.25027428326025e-13	2.46887235649124e-11	19.9456035681062
HTR1B	0.251984255319149	0.340143191489362	8.50139015109389	2.90986560596526e-13	2.79347098172665e-11	19.6919605457147
IFNG	-0.208542978723404	0.598545744680851	-8.33051208199624	6.66766192542588e-13	5.68973817636341e-11	18.8739794375457
COMT	-0.102457446808511	0.239788085106383	-8.28480620303886	8.32044717314191e-13	6.39010342897298e-11	18.6555669875815
CPA4	-0.200431276595745	0.456475212765957	-8.21903137594944	1.14400993094388e-12	7.98726933604457e-11	18.3415587737515
SOX17	0.235296170212766	0.539543829787234	7.76866431420588	1.00183313462271e-11	6.41173206158536e-10	16.2029901037969
PTPRH	-0.189541489361702	0.588789468085106	-7.72326470432592	1.24533485746649e-11	7.35705515795586e-10	15.9886978785526
SOX1	0.238987659574468	0.179377021276596	7.56692934120867	2.62928986872607e-11	1.44235329941545e-09	15.2528791009774
MYOD1	0.232151914893617	0.203395106382979	7.50650502407666	3.50681793926942e-11	1.79549078490594e-09	14.9694084197439
DLK1	0.264169361702128	0.279172765957447	7.46035022252558	4.3682271185048e-11	2.0967490168823e-09	14.7532488974153
MUC1	-0.178701063829787	0.534496276595745	-7.14980465651685	1.89912016794726e-10	8.57955464107939e-09	13.3078835093804
DCC	0.197423617021277	0.472150319148936	7.07884961453923	2.65111778883753e-10	1.13114358990401e-08	12.9800371853004
HDAC1	-0.16114170212766	0.361640425531915	-7.04791381620968	3.06530725426847e-10	1.23902945856747e-08	12.8374002439536
NID1	-0.189802765957447	0.814449468085106	-7.02925225007167	3.34556107235473e-10	1.28469545178422e-08	12.751447007167
NOS3	-0.199204893617021	0.724915425531915	-7.00832436002352	3.69016251866041e-10	1.34954514968152e-08	12.6551372646905
PTK7	-0.0786502127659574	0.655967872340426	-6.99203879790165	3.98247778092007e-10	1.39024678897573e-08	12.5802519616505
STAT5A	0.224927234042553	0.36663829787234	6.93170257793383	5.27991703831807e-10	1.76303316757751e-08	12.3032798963773
IL16	-0.162158510638298	0.635914361702128	-6.82878276140574	8.52779630138665e-10	2.72889481644373e-08	11.8325899900579
CCR5	-0.109240212765957	0.578934361702128	-6.81808352810129	8.96250267229491e-10	2.753280820929e-08	11.7837897257447
HOXA11	0.207618510638298	0.271724787234043	6.60823444149995	2.36497842829339e-09	6.98578243434356e-08	10.831919112813
FGF2	0.216385106382979	0.309562340425532	6.47782558711842	4.30094444936372e-09	1.22337975448568e-07	10.245735046847
CLDN4	-0.14426914893617	0.706973085106383	-6.35770050925281	7.43465286668654e-09	2.03921907200545e-07	9.70966994501312
FRZB	0.254963617021277	0.299927978723404	6.33903635761005	8.09194058540049e-09	2.14296909296123e-07	9.6267289622566
DIO3	0.0955625531914893	0.791097021276596	6.32783654813044	8.51357662406452e-09	2.17947561576052e-07	9.57700456071502
AOC3	-0.138664680851064	0.474245957446809	-6.23445924813181	1.29861963902717e-08	3.21722542829956e-07	9.16380095873063
CALCA	0.21587170212766	0.421138829787234	6.15672328072524	1.8423411378336e-08	4.42161873080065e-07	8.82172545296825
PITX2	0.189479361702128	0.410308404255319	5.979538663221	4.06291943363813e-08	9.45552159101238e-07	8.0488516215297
TMPRSS4	-0.143027872340425	0.84199329787234	-5.94163225438026	4.80624058699849e-08	1.0856449325926e-06	7.88478688627616
GSTM1	0.20103170212766	0.489872659574468	5.92460403217087	5.18230463495238e-08	1.13714570275527e-06	7.81123782302292
CXCL9	-0.106798510638298	0.783797127659574	-5.77461161590236	1.00240137797676e-07	2.13845627301708e-06	7.16755700339377
SLC14A1	-0.0952327659574468	0.797613404255319	-5.75937876130684	1.07143999058003e-07	2.22396192639314e-06	7.10261564060301
RUNX3	-0.0927704255319148	0.855136914893617	-5.74273374505257	1.15222835551015e-07	2.27579845370303e-06	7.03174650229479
CDH13	0.20902	0.20562085106383	5.74204863120499	1.15567890227107e-07	2.27579845370303e-06	7.02883158825451
WT1	0.17853	0.150436914893617	5.61539356842063	2.00335463835785e-07	3.78074383129242e-06	6.49283790502489
CCL3	-0.11610829787234	0.726776063829787	-5.61366637564976	2.01836584743476e-07	3.78074383129242e-06	6.48556877991165
AIM2	-0.06989	0.852720744680851	-5.59286488243411	2.20806057512225e-07	4.03759648022354e-06	6.39810942526435
PECAM1	0.116377659574468	0.728457978723404	5.55855946253523	2.55980298366695e-07	4.42102943225062e-06	6.25422472998749
LTB4R	0.0777514893617021	0.785726170212766	5.5572865007637	2.57386184542289e-07	4.42102943225062e-06	6.24889412079902
PROM1	-0.0458414893617021	0.895336914893617	-5.55579354443744	2.59044693295935e-07	4.42102943225062e-06	6.24264304698636
HOXB2	0.106461914893617	0.803285	5.5255382894222	2.95006484077966e-07	4.92532564721474e-06	6.11614435590421
E2F5	-0.131516170212766	0.549947872340426	-5.51444112094591	3.09388527370162e-07	5.05554019192095e-06	6.06983366171613
GALR1	0.141470425531915	0.185702446808511	5.47641790523801	3.64077154861403e-07	5.81411924648944e-06	5.91151311857549
NEO1	-0.0822357446808511	0.177684680851064	-5.47029003662841	3.73735969914882e-07	5.81411924648944e-06	5.88605017122763
BAX	-0.102984255319149	0.697635531914894	-5.46731006331159	3.78523388443323e-07	5.81411924648944e-06	5.87367284279278
NOS2A	-0.0802410638297872	0.872949680851064	-5.42098583214007	4.61153160819033e-07	6.94442406880427e-06	5.68171094954112
ASCL2	0.189136170212766	0.261650425531915	5.41396489585924	4.75129978590605e-07	7.01730429918432e-06	5.65269066995538
HBII-52	-0.148514468085106	0.485986170212766	-5.38779084157866	5.30988765686637e-07	7.69432777447806e-06	5.54467541724326
SERPINB5	-0.0971640425531916	0.89785670212766	-5.34078775406545	6.47884559631634e-07	9.21435818142769e-06	5.35139152742711
BRCA1	-0.147962978723404	0.674610638297872	-5.30853514736947	7.42308989745996e-07	1.03653328022714e-05	5.2192820072559
PTK6	-0.116507872340426	0.332097978723404	-5.27357822126312	8.59870572214309e-07	1.17925107046534e-05	5.07657785080455
TRIM29	-0.110206170212766	0.808773085106383	-5.25458104116445	9.31206799858513e-07	1.25467863559884e-05	4.9992385034669
EMR3	-0.142833191489362	0.544156382978723	-5.2311545606507	1.02717925924485e-06	1.35069009576059e-05	4.90407496746146
SLC5A5	0.105610638297872	0.738975744680851	5.22873188739418	1.03763952669108e-06	1.35069009576059e-05	4.89424670153455
RARB	0.120109787234043	0.114930638297872	5.22102967535594	1.07159168749436e-06	1.37163735999278e-05	4.86301693801879
PLG	-0.0369565957446808	0.920057872340426	-5.20084810384704	1.16578886581146e-06	1.447041368702e-05	4.78130693087246
FOSL2	-0.0185489361702127	0.964315319148936	-5.20035591163556	1.16818443827505e-06	1.447041368702e-05	4.77931633258712
HOXA5	0.0863604255319149	0.839585531914894	5.17181958782011	1.31561500072979e-06	1.60379733422298e-05	4.66408236054237
GABRG3	-0.0720902127659575	0.897774893617021	-5.13165894111292	1.55430111239635e-06	1.86516133487562e-05	4.50250150092961
DDR2	0.0198710638297871	0.936392553191489	5.11544476747196	1.6622202245534e-06	1.94626228760363e-05	4.43746460449668
MFAP4	0.0858231914893617	0.354172659574468	5.11394431418488	1.67256915340937e-06	1.94626228760363e-05	4.43145192756465
ABCB1	0.216529361702128	0.16434829787234	5.10086185846541	1.76550763818174e-06	2.02374606884116e-05	4.37906924021241
PWCR1	-0.0201985106382979	0.966052234042553	-5.09219730165406	1.82981664101998e-06	2.06661644162256e-05	4.34441744634686
INS	-0.0829991489361702	0.825277021276596	-5.08176303192588	1.91029988839894e-06	2.12624683230491e-05	4.30273210158003
PRSS1	-0.0896810638297872	0.750188829787234	-5.07438445332921	1.96928847216832e-06	2.16059078089324e-05	4.27328346515308
WNT8B	-0.0854936170212765	0.784945319148936	-4.99280431668133	2.75226492600988e-06	2.97709783545857e-05	3.94931289563921
LEFTY2	0.10096170212766	0.526044042553191	4.98758563603079	2.81157282393125e-06	2.99901101219334e-05	3.92869088298907
AFF3	-0.0985574468085107	0.852561914893617	-4.95527319817149	3.20750903447791e-06	3.37447525819046e-05	3.80128342554021
AATK	-0.0932042553191489	0.904045744680851	-4.95111481084852	3.26225263385702e-06	3.38568922000296e-05	3.78492183509722
BCL3	-0.0574151063829787	0.406699468085106	-4.93498993729203	3.4832700092397e-06	3.56686848946145e-05	3.7215525224983
SFTPB	-0.0885091489361702	0.728257340425532	-4.92796129885507	3.58411225942282e-06	3.62183975689042e-05	3.69396833244778
GFI1	0.183050212765957	0.283262765957447	4.9160743134825	3.76116590108611e-06	3.75139663900537e-05	3.64736967716355
APOC2	-0.0719863829787233	0.781886595744681	-4.90566798474853	3.92313568012577e-06	3.85003408412543e-05	3.60662955549649
TEK	0.109548510638298	0.648054255319149	4.90333795427597	3.96032151882694e-06	3.85003408412543e-05	3.59751457770399
ITK	-0.0458704255319149	0.919197553191489	-4.88984636260961	4.18248131341076e-06	4.01518206087433e-05	3.54478614834812
EPHB3	-0.0339704255319149	0.121447553191489	-4.85351846111409	4.84271043919181e-06	4.59160693493742e-05	3.40323485236058
IL1RN	-0.107722978723404	0.803549787234043	-4.84000021468463	5.11342113852716e-06	4.78915540779129e-05	3.35072116635258
USP29	-0.0770227659574468	0.905009468085106	-4.83509131969716	5.21532293524885e-06	4.82574459550737e-05	3.33167341967023
