	GSM484148	GSM484150	GSM484151	GSM484152	GSM484153	GSM484159	GSM484160	GSM484161	GSM484162	GSM484163	GSM484164	GSM484165	GSM484166	GSM484167	GSM484168	GSM484169	GSM484170	GSM484172	GSM484173	GSM484174	GSM484175	GSM484176	GSM484177	GSM484178	GSM484179	GSM484180	GSM484181	GSM484182	GSM484183	GSM484184	GSM484185	GSM484186	GSM484187	GSM484188	GSM484189	GSM484190	GSM484191	GSM484192	GSM484193	GSM484194	GSM484196	GSM484197	GSM484198	GSM484199	GSM484200	GSM484202	GSM484203	GSM689005	GSM689006	GSM689007	GSM689008	GSM689009	GSM689010	GSM689011	GSM689012	GSM689013	GSM689014	GSM689015	GSM689016	GSM689017	GSM689018	GSM689019	GSM689020	GSM689021	GSM689022	GSM689023	GSM689024	GSM689025	GSM689026	GSM689027	GSM689028	GSM689029	GSM689030	GSM689031	GSM689032	GSM689033	GSM689034	GSM689035	GSM689036	GSM689037	GSM689038	GSM689039	GSM689040	GSM689041	GSM689042	GSM689043	GSM689044	GSM689045	GSM689046	GSM689047	GSM689048	GSM689049	GSM689050	GSM689051
AATK_E63_R	0.9669	0.94341	0.96662	0.96114	0.95844	0.94877	0.92361	0.93831	0.95978	0.92471	0.94298	0.95441	0.94884	0.92375	0.95982	0.94669	0.94919	0.95918	0.92684	0.94789	0.93303	0.95908	0.95345	0.95202	0.95193	0.92247	0.95421	0.95102	0.94656	0.93919	0.95871	0.95766	0.96588	0.95672	0.96264	0.96526	0.91902	0.9589	0.95938	0.95434	0.96618	0.96845	0.96717	0.9415	0.96464	0.95455	0.94521	0.93678	0.86326	0.91694	0.53722	0.92156	0.93137	0.8126	0.94904	0.57099	0.91302	0.87232	0.54282	0.89346	0.7043	0.89555	0.84414	0.90628	0.91828	0.89498	0.96094	0.92212	0.34121	0.9095	0.88748	0.91348	0.83336	0.94622	0.91916	0.84145	0.91273	0.77637	0.94652	0.97057	0.96901	0.9075	0.90045	0.91681	0.86828	0.8237	0.93129	0.92638	0.91347	0.76756	0.87721	0.6953	0.94515	0.95172
AATK_P519_R	0.93352	0.89664	0.90041	0.904	0.91831	0.86528	0.79959	0.91675	0.89311	0.87646	0.90029	0.87956	0.84386	0.86682	0.90269	0.88825	0.9008	0.91599	0.87029	0.89149	0.89721	0.91122	0.91872	0.91172	0.919	0.87165	0.87098	0.86746	0.87538	0.85485	0.91475	0.88773	0.93814	0.88053	0.90472	0.92477	0.89953	0.914	0.91271	0.91552	0.92288	0.91308	0.9008	0.89327	0.90545	0.89355	0.8651	0.93333	0.93046	0.9001	0.53166	0.93	0.7404	0.87726	0.91219	0.8649	0.92477	0.87611	0.79965	0.87166	0.92456	0.88731	0.91658	0.89514	0.75869	0.91883	0.9385	0.94289	0.64018	0.91093	0.94055	0.89857	0.83705	0.84106	0.83074	0.83733	0.91855	0.76733	0.90443	0.94752	0.95658	0.86096	0.86489	0.89432	0.90277	0.88524	0.91506	0.88946	0.89118	0.86368	0.88601	0.62248	0.91577	0.91394
AATK_P709_R	0.85284	0.77466	0.81808	0.78229	0.79107	0.72326	0.66314	0.7784	0.76185	0.7338	0.77783	0.78544	0.76715	0.73807	0.73794	0.75939	0.7778	0.81235	0.75278	0.7529	0.74967	0.801	0.82884	0.75627	0.79208	0.7352	0.74838	0.77068	0.75128	0.71348	0.79233	0.76577	0.85008	0.76171	0.81763	0.83327	0.75237	0.8387	0.7932	0.79649	0.84921	0.83792	0.82401	0.82315	0.77231	0.75935	0.89134	0.79598	0.7995	0.73188	0.25532	0.80423	0.42371	0.77275	0.72693	0.73357	0.82658	0.8199	0.76277	0.66709	0.90814	0.70792	0.71427	0.80825	0.64704	0.80855	0.8734	0.83622	0.62712	0.79405	0.861	0.80021	0.61115	0.57308	0.56695	0.52598	0.79084	0.72858	0.82328	0.84793	0.89563	0.73214	0.7375	0.71691	0.82818	0.82842	0.73391	0.65786	0.79461	0.79559	0.76298	0.33395	0.82381	0.70116
ABCA1_E120_R	0.03171	0.03337	0.03314	0.02505	0.04019	0.03152	0.0277	0.02601	0.02844	0.03713	0.02528	0.02922	0.02837	0.04074	0.02983	0.02298	0.02207	0.03187	0.03576	0.03793	0.0294	0.02225	0.02573	0.0214	0.02823	0.03211	0.03189	0.02592	0.03591	0.04123	0.02634	0.03103	0.03284	0.02246	0.0296	0.0313	0.02757	0.02736	0.03196	0.03766	0.03334	0.03057	0.0412	0.02556	0.03108	0.03266	0.03052	0.02627	0.0298	0.02351	0.03801	0.02834	0.02449	0.02634	0.03003	0.02503	0.03462	0.03105	0.03057	0.02785	0.02996	0.03563	0.03028	0.03451	0.02905	0.02607	0.0317	0.02721	0.02778	0.03459	0.02923	0.02814	0.02922	0.03178	0.02614	0.02353	0.03606	0.04555	0.02804	0.22234	0.02947	0.03226	0.03971	0.03201	0.05208	0.04475	0.03597	0.04785	0.03902	0.0271	0.03543	0.04621	0.04407	0.02878
ABCA1_P45_F	0.04627	0.04776	0.04339	0.04137	0.05338	0.04378	0.03371	0.051	0.03181	0.04772	0.0332	0.06081	0.04013	0.04786	0.03119	0.0292	0.0301	0.03387	0.0482	0.0702	0.04955	0.03922	0.02707	0.02819	0.03668	0.02782	0.04406	0.03567	0.03875	0.046	0.0338	0.04258	0.05123	0.0352	0.02928	0.04066	0.0334	0.04099	0.0317	0.042	0.0466	0.04039	0.05022	0.08818	0.03144	0.03774	0.03655	0.02746	0.05574	0.04838	0.0403	0.03714	0.05069	0.02557	0.0345	0.03003	0.03262	0.1717	0.03473	0.03848	0.03001	0.03884	0.04092	0.03803	0.04158	0.04351	0.03306	0.03626	0.02855	0.03807	0.03646	0.03423	0.03957	0.04276	0.0303	0.02829	0.04669	0.06188	0.03883	0.72111	0.04432	0.0568	0.05074	0.04621	0.07753	0.05305	0.05158	0.07223	0.03916	0.03805	0.05849	0.04912	0.04137	0.02905
ABCB4_E429_F	0.96886	0.93886	0.96626	0.95989	0.96873	0.9532	0.92172	0.94765	0.95101	0.94254	0.9485	0.94545	0.9472	0.92859	0.95698	0.94944	0.93861	0.94828	0.9366	0.94032	0.95519	0.94708	0.93975	0.95078	0.95398	0.96036	0.9489	0.95355	0.93639	0.92765	0.94294	0.95793	0.96261	0.9675	0.95771	0.95907	0.94345	0.94182	0.95841	0.95741	0.95864	0.96762	0.9628	0.97291	0.96852	0.96524	0.96032	0.95986	0.93793	0.93786	0.95047	0.96125	0.95807	0.95474	0.92558	0.93028	0.9572	0.95228	0.93862	0.94073	0.97031	0.94233	0.95787	0.9401	0.88526	0.93651	0.95611	0.95668	0.95669	0.94539	0.92949	0.95227	0.95492	0.9654	0.95049	0.9563	0.95366	0.97215	0.95662	0.95674	0.94599	0.92627	0.92307	0.9319	0.93175	0.95282	0.92325	0.92048	0.92192	0.94373	0.93204	0.96391	0.94462	0.90833
ABCB4_P51_F	0.959	0.93568	0.95946	0.95263	0.9683	0.95049	0.92022	0.94417	0.95443	0.92744	0.94858	0.9401	0.95269	0.91995	0.95401	0.94064	0.94201	0.94147	0.93248	0.94068	0.95734	0.95099	0.93356	0.94582	0.95036	0.95344	0.94415	0.93877	0.94184	0.92037	0.93271	0.94926	0.96096	0.96337	0.95553	0.95475	0.9406	0.94703	0.95941	0.95049	0.95239	0.96307	0.96045	0.97463	0.96394	0.96009	0.97673	0.9555	0.93649	0.94354	0.94116	0.96159	0.94566	0.94117	0.93802	0.86425	0.95026	0.93887	0.94504	0.92234	0.96239	0.93406	0.95695	0.93434	0.8083	0.9285	0.95494	0.95554	0.94707	0.94071	0.92971	0.94935	0.95695	0.94762	0.94502	0.93882	0.93797	0.96706	0.94953	0.94162	0.94823	0.90081	0.92092	0.91506	0.92569	0.94039	0.92677	0.91542	0.92257	0.9462	0.927	0.91152	0.92799	0.93478
ABCB4_P892_F	0.92604	0.86424	0.91227	0.91494	0.93206	0.86618	0.83781	0.9072	0.89223	0.85346	0.89672	0.89553	0.9027	0.89071	0.92974	0.90439	0.86072	0.88516	0.88256	0.85578	0.82105	0.92091	0.89673	0.90218	0.9321	0.87064	0.92045	0.91664	0.86958	0.8404	0.85301	0.91176	0.93428	0.87939	0.91087	0.93682	0.88323	0.91716	0.92068	0.92533	0.92843	0.92897	0.90928	0.9174	0.89849	0.89214	0.96274	0.9202	0.83104	0.86327	0.88042	0.91373	0.9064	0.93942	0.84873	0.90183	0.88555	0.89092	0.91438	0.85657	0.95205	0.87971	0.91383	0.87169	0.76627	0.84969	0.94266	0.34603	0.92526	0.87699	0.77711	0.90093	0.82993	0.94987	0.90747	0.7854	0.86615	0.92177	0.90205	0.8503	0.8679	0.88272	0.86719	0.90663	0.85198	0.88435	0.91209	0.90459	0.88231	0.85612	0.89382	0.92757	0.80637	0.85869
ABCC2_E16_R	0.79341	0.81796	0.90263	0.80732	0.87305	0.83527	0.74241	0.88519	0.91152	0.74597	0.88566	0.85967	0.83777	0.77226	0.80282	0.88846	0.87444	0.90221	0.85703	0.7791	0.81408	0.89564	0.89792	0.83111	0.79915	0.84199	0.89882	0.756	0.86295	0.72761	0.89215	0.79392	0.82173	0.8577	0.90063	0.91127	0.75751	0.89888	0.91443	0.90703	0.79101	0.88584	0.80689	0.88997	0.89309	0.87331	0.83994	0.82237	0.88922	0.87018	0.81525	0.90236	0.89595	0.89517	0.91249	0.58176	0.81145	0.90989	0.84594	0.77957	0.90058	0.71875	0.89208	0.72968	0.86692	0.88247	0.83429	0.80223	0.56438	0.89927	0.76107	0.8251	0.85934	0.90827	0.78497	0.78913	0.78495	0.77072	0.71311	0.69814	0.90581	0.86502	0.84285	0.69102	0.86693	0.88927	0.84888	0.73443	0.82419	0.68878	0.81516	0.89487	0.88101	0.71328
ABCC2_P88_F	0.96943	0.94768	0.96858	0.96343	0.96703	0.95002	0.91849	0.95193	0.95955	0.93965	0.95031	0.95219	0.95113	0.92759	0.9609	0.95673	0.95576	0.961	0.93559	0.94197	0.95829	0.95687	0.95274	0.95615	0.953	0.9573	0.95248	0.94996	0.94949	0.93286	0.95766	0.95856	0.9659	0.96171	0.96219	0.96552	0.94531	0.95704	0.96753	0.96077	0.96519	0.96777	0.96192	0.97256	0.9669	0.96466	0.94253	0.95736	0.95865	0.95856	0.94147	0.95721	0.95256	0.95571	0.95689	0.91724	0.9559	0.91162	0.90437	0.95467	0.85621	0.93609	0.92657	0.93808	0.94411	0.94653	0.95488	0.95667	0.78748	0.9526	0.92578	0.95757	0.9609	0.96903	0.95149	0.94131	0.96355	0.87814	0.95114	0.94519	0.96718	0.93447	0.92777	0.91138	0.8922	0.93053	0.93614	0.93202	0.94636	0.9355	0.93326	0.94859	0.93537	0.94203
