	GSM484148	GSM484150	GSM484151	GSM484152	GSM484153	GSM484159	GSM484160	GSM484161	GSM484162	GSM484163	GSM484164	GSM484165	GSM484166	GSM484167	GSM484168	GSM484169	GSM484170	GSM484172	GSM484173	GSM484174	GSM484175	GSM484176	GSM484177	GSM484178	GSM484179	GSM484180	GSM484181	GSM484182	GSM484183	GSM484184	GSM484185	GSM484186	GSM484187	GSM484188	GSM484189	GSM484190	GSM484191	GSM484192	GSM484193	GSM484194	GSM484196	GSM484197	GSM484198	GSM484199	GSM484200	GSM484202	GSM484203	GSM689005	GSM689006	GSM689007	GSM689008	GSM689009	GSM689010	GSM689011	GSM689012	GSM689013	GSM689014	GSM689015	GSM689016	GSM689017	GSM689018	GSM689019	GSM689020	GSM689021	GSM689022	GSM689023	GSM689024	GSM689025	GSM689026	GSM689027	GSM689028	GSM689029	GSM689030	GSM689031	GSM689032	GSM689033	GSM689034	GSM689035	GSM689036	GSM689037	GSM689038	GSM689039	GSM689040	GSM689041	GSM689042	GSM689043	GSM689044	GSM689045	GSM689046	GSM689047	GSM689048	GSM689049	GSM689050	GSM689051
AATK	0.9669	0.94341	0.96662	0.96114	0.95844	0.94877	0.92361	0.93831	0.95978	0.92471	0.94298	0.95441	0.94884	0.92375	0.95982	0.94669	0.94919	0.95918	0.92684	0.94789	0.93303	0.95908	0.95345	0.95202	0.95193	0.92247	0.95421	0.95102	0.94656	0.93919	0.95871	0.95766	0.96588	0.95672	0.96264	0.96526	0.91902	0.9589	0.95938	0.95434	0.96618	0.96845	0.96717	0.9415	0.96464	0.95455	0.94521	0.93678	0.86326	0.91694	0.53722	0.92156	0.93137	0.8126	0.94904	0.57099	0.91302	0.87232	0.54282	0.89346	0.7043	0.89555	0.84414	0.90628	0.91828	0.89498	0.96094	0.92212	0.34121	0.9095	0.88748	0.91348	0.83336	0.94622	0.91916	0.84145	0.91273	0.77637	0.94652	0.97057	0.96901	0.9075	0.90045	0.91681	0.86828	0.8237	0.93129	0.92638	0.91347	0.76756	0.87721	0.6953	0.94515	0.95172
ABCA1	0.03171	0.03337	0.03314	0.02505	0.04019	0.03152	0.0277	0.02601	0.02844	0.03713	0.02528	0.02922	0.02837	0.04074	0.02983	0.02298	0.02207	0.03187	0.03576	0.03793	0.0294	0.02225	0.02573	0.0214	0.02823	0.03211	0.03189	0.02592	0.03591	0.04123	0.02634	0.03103	0.03284	0.02246	0.0296	0.0313	0.02757	0.02736	0.03196	0.03766	0.03334	0.03057	0.0412	0.02556	0.03108	0.03266	0.03052	0.02627	0.0298	0.02351	0.03801	0.02834	0.02449	0.02634	0.03003	0.02503	0.03462	0.03105	0.03057	0.02785	0.02996	0.03563	0.03028	0.03451	0.02905	0.02607	0.0317	0.02721	0.02778	0.03459	0.02923	0.02814	0.02922	0.03178	0.02614	0.02353	0.03606	0.04555	0.02804	0.22234	0.02947	0.03226	0.03971	0.03201	0.05208	0.04475	0.03597	0.04785	0.03902	0.0271	0.03543	0.04621	0.04407	0.02878
ABCB4	0.96886	0.93886	0.96626	0.95989	0.96873	0.9532	0.92172	0.94765	0.95101	0.94254	0.9485	0.94545	0.9472	0.92859	0.95698	0.94944	0.93861	0.94828	0.9366	0.94032	0.95519	0.94708	0.93975	0.95078	0.95398	0.96036	0.9489	0.95355	0.93639	0.92765	0.94294	0.95793	0.96261	0.9675	0.95771	0.95907	0.94345	0.94182	0.95841	0.95741	0.95864	0.96762	0.9628	0.97291	0.96852	0.96524	0.96032	0.95986	0.93793	0.93786	0.95047	0.96125	0.95807	0.95474	0.92558	0.93028	0.9572	0.95228	0.93862	0.94073	0.97031	0.94233	0.95787	0.9401	0.88526	0.93651	0.95611	0.95668	0.95669	0.94539	0.92949	0.95227	0.95492	0.9654	0.95049	0.9563	0.95366	0.97215	0.95662	0.95674	0.94599	0.92627	0.92307	0.9319	0.93175	0.95282	0.92325	0.92048	0.92192	0.94373	0.93204	0.96391	0.94462	0.90833
ABCC2	0.79341	0.81796	0.90263	0.80732	0.87305	0.83527	0.74241	0.88519	0.91152	0.74597	0.88566	0.85967	0.83777	0.77226	0.80282	0.88846	0.87444	0.90221	0.85703	0.7791	0.81408	0.89564	0.89792	0.83111	0.79915	0.84199	0.89882	0.756	0.86295	0.72761	0.89215	0.79392	0.82173	0.8577	0.90063	0.91127	0.75751	0.89888	0.91443	0.90703	0.79101	0.88584	0.80689	0.88997	0.89309	0.87331	0.83994	0.82237	0.88922	0.87018	0.81525	0.90236	0.89595	0.89517	0.91249	0.58176	0.81145	0.90989	0.84594	0.77957	0.90058	0.71875	0.89208	0.72968	0.86692	0.88247	0.83429	0.80223	0.56438	0.89927	0.76107	0.8251	0.85934	0.90827	0.78497	0.78913	0.78495	0.77072	0.71311	0.69814	0.90581	0.86502	0.84285	0.69102	0.86693	0.88927	0.84888	0.73443	0.82419	0.68878	0.81516	0.89487	0.88101	0.71328
ABCC5	0.0479	0.04219	0.04114	0.03549	0.04815	0.03657	0.03272	0.04091	0.02603	0.05433	0.03104	0.03291	0.03683	0.04454	0.03974	0.02432	0.03785	0.03903	0.07263	0.032	0.03818	0.04006	0.03511	0.03334	0.03026	0.03128	0.03122	0.03349	0.03377	0.0291	0.03558	0.04034	0.05757	0.04113	0.03861	0.02792	0.04805	0.0318	0.03455	0.03792	0.04518	0.03765	0.03888	0.05838	0.03327	0.03848	0.02393	0.0473	0.05292	0.04037	0.03676	0.04169	0.0246	0.03095	0.0301	0.02021	0.04169	0.02526	0.04955	0.05214	0.02254	0.06088	0.04439	0.04395	0.07105	0.0461	0.04493	0.03124	0.02939	0.05914	0.05366	0.06078	0.03888	0.03431	0.04898	0.0256	0.05846	0.03826	0.04425	0.06392	0.04268	0.04038	0.06051	0.03578	0.0481	0.03869	0.0406	0.04732	0.06269	0.02986	0.05195	0.03404	0.02966	0.0242
ABCG2	0.12297	0.10275	0.12133	0.11072	0.12859	0.12347	0.07597	0.14197	0.10246	0.12361	0.09014	0.12172	0.10355	0.11263	0.10852	0.09223	0.07645	0.10618	0.16373	0.13068	0.12796	0.11322	0.10175	0.0993	0.09909	0.08839	0.10671	0.1039	0.11066	0.11844	0.10797	0.08441	0.1077	0.11952	0.1133	0.10613	0.07755	0.1047	0.11489	0.12931	0.11521	0.115	0.1153	0.09451	0.10672	0.11172	0.10373	0.12576	0.10023	0.11116	0.12062	0.12438	0.11291	0.08119	0.10829	0.09595	0.0932	0.1215	0.09058	0.10647	0.07199	0.12154	0.08984	0.10656	0.1193	0.08899	0.08112	0.10676	0.03096	0.10935	0.13064	0.11822	0.10782	0.12585	0.10896	0.10253	0.12811	0.12611	0.09375	0.52871	0.14363	0.12967	0.13449	0.12141	0.13083	0.11921	0.08982	0.10703	0.14659	0.08975	0.1024	0.12165	0.13198	0.09919
ABL1	0.10207	0.0976	0.11204	0.11187	0.16535	0.09742	0.16003	0.13704	0.06542	0.15312	0.06503	0.11506	0.09007	0.0984	0.11204	0.08398	0.07541	0.10918	0.16469	0.12237	0.10204	0.10758	0.08276	0.08984	0.08426	0.15002	0.05538	0.10319	0.09767	0.10445	0.08453	0.10853	0.09295	0.11369	0.07356	0.07385	0.14625	0.07897	0.1093	0.08166	0.07564	0.09067	0.08786	0.05177	0.09602	0.0989	0.04616	0.17789	0.17043	0.11496	0.08944	0.13498	0.11242	0.08741	0.1304	0.02704	0.14903	0.06103	0.25734	0.11458	0.03661	0.17621	0.10417	0.1168	0.26773	0.1982	0.17436	0.09762	0.04018	0.16832	0.09855	0.12586	0.10343	0.1251	0.12199	0.06174	0.1713	0.11347	0.13328	0.09702	0.09329	0.12112	0.14972	0.0897	0.11028	0.15445	0.0923	0.07685	0.16393	0.05074	0.10227	0.04891	0.12891	0.09908
ABL2	0.31372	0.43456	0.29022	0.29656	0.29791	0.47205	0.25295	0.36191	0.2897	0.29928	0.26715	0.29391	0.31418	0.28081	0.35608	0.25052	0.27234	0.33632	0.49717	0.26435	0.32774	0.31277	0.33843	0.41672	0.34583	0.2629	0.2494	0.40538	0.20673	0.31445	0.30312	0.35755	0.29833	0.34051	0.48598	0.45505	0.26163	0.4252	0.32757	0.34349	0.27981	0.30458	0.33393	0.17111	0.41552	0.26769	0.3961	0.27686	0.43415	0.30996	0.22167	0.33729	0.60686	0.26363	0.35579	0.25437	0.31298	0.26152	0.35582	0.33095	0.28524	0.38028	0.29509	0.3445	0.24281	0.43838	0.31532	0.39213	0.14955	0.37176	0.51807	0.36822	0.40964	0.41856	0.50436	0.25748	0.3847	0.23566	0.38355	0.1155	0.33653	0.36888	0.35084	0.34023	0.40069	0.33216	0.33626	0.34232	0.32476	0.31145	0.43304	0.40429	0.29139	0.44292
ABO	0.13242	0.10503	0.13376	0.13385	0.14551	0.16511	0.08983	0.30555	0.10247	0.12021	0.10087	0.11971	0.15471	0.12855	0.10796	0.10771	0.09065	0.12466	0.24512	0.12179	0.18924	0.1299	0.13354	0.10468	0.1095	0.09702	0.08562	0.12619	0.09839	0.12286	0.09225	0.12831	0.10869	0.21141	0.11129	0.12472	0.11624	0.09604	0.10938	0.141	0.0907	0.15315	0.14415	0.23667	0.1884	0.20987	0.20037	0.17601	0.15047	0.15391	0.84385	0.13075	0.19087	0.15934	0.17308	0.15916	0.12328	0.12702	0.24488	0.19234	0.05702	0.16239	0.13035	0.17914	0.58489	0.16775	0.14103	0.14178	0.08378	0.2051	0.17702	0.22622	0.15184	0.18656	0.16912	0.29191	0.18266	0.19793	0.12725	0.08638	0.13914	0.1345	0.14885	0.08735	0.20059	0.17991	0.1657	0.13595	0.24965	0.10859	0.15247	0.16543	0.23147	0.12269
ACTG2	0.92935	0.88218	0.88248	0.88023	0.92911	0.88266	0.83413	0.87263	0.82904	0.83957	0.86314	0.84552	0.85935	0.78923	0.86154	0.84319	0.82885	0.86585	0.87128	0.79577	0.87265	0.86952	0.83128	0.87244	0.89731	0.84475	0.85591	0.88597	0.82316	0.82375	0.8528	0.87451	0.93459	0.87075	0.87694	0.90876	0.87274	0.87724	0.89651	0.90068	0.90878	0.89888	0.87352	0.90585	0.89956	0.90635	0.79822	0.90161	0.88745	0.89221	0.87442	0.91878	0.88089	0.90664	0.89951	0.797	0.88979	0.86046	0.91915	0.86101	0.91618	0.85886	0.88106	0.87351	0.90025	0.88821	0.91804	0.90719	0.83034	0.83616	0.94996	0.87792	0.87382	0.91394	0.84649	0.85471	0.90541	0.85293	0.79541	0.88651	0.93243	0.85824	0.85214	0.80137	0.88071	0.84642	0.88879	0.76666	0.84256	0.87975	0.84067	0.82648	0.87065	0.91604
